District,Zone,Geographical Region,Development Region,On-budget Projects,Off-budget Projects,Total Projects,On-Budget Actual Disbursement 2011-12 (US$),Off-Budget Actual Disbursement 2011-12 (US$),Total Actual Disbursement 2011-12 (US$),Population,Per Capita Disbursement (US$)
Rupandehi,Lumbini,Terai,Western,11,22,33,"4,535,366","1,635,150","6,170,516","880,196",7
Salyan,Rapti,Hill,Mid-Western,10,13,23,"5,160,561","2,430,990","7,591,550","242,444",31
Sankhuwasabha,Kosi,Mountain,Eastern,8,17,25,"2,230,982","2,899,941","5,130,923","158,742",32
Saptari,Sagarmatha,Terai,Eastern,9,18,27,"1,270,500","720,653","1,991,153","639,284",3
Sarlahi,Janakpur,Terai,Central,7,18,25,"1,423,834","1,296,095","2,719,929","769,729",4
Sindhuli,Janakpur,Hill,Central,13,12,25,"10,767,108","755,459","11,522,567","296,192",39
Sindhupalchok,Bagmati,Mountain,Central,7,20,27,"3,909,778","1,573,376","5,483,154","287,798",19
Siraha,Sagarmatha,Terai,Eastern,6,15,21,"681,024","1,152,254","1,833,277","637,328",3
Solukhumbu,Sagarmatha,Mountain,Eastern,6,12,18,"4,652,997","1,412,279","6,065,276","105,886",57
Sunsari,Kosi,Terai,Eastern,13,27,40,"6,287,578","750,554","7,038,132","763,487",9
Surkhet,Bheri,Hill,Mid-Western,9,31,40,"8,100,523","4,184,459","12,284,982","350,804",35
Syangja,Gandaki,Hill,Western,4,9,13,"1,228,377","885,481","2,113,858","289,148",7
Tanahu,Gandaki,Hill,Western,7,14,21,"1,762,891","588,862","2,351,752","323,288",7
Taplejung,Mechi,Mountain,Eastern,5,13,18,"2,096,246","1,153,326","3,249,572","127,461",25
Terhathum,Kosi,Hill,Eastern,7,10,17,"4,843,920","2,382,395","7,226,316","101,577",71
Udayapur,Sagarmatha,Hill,Eastern,6,19,25,"756,696","1,185,685","1,942,380","317,532",6
